{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.7333  0.1294  0.1678
  -4.583 -4.013  5  10  245    0.7430  0.2443  0.5000
  -4.013 -3.839  5  10  292    0.7943  0.1532  0.4399
  -3.839 -3.489  5  10  414    0.8872  0.0576  0.3239
  -3.489 -3.314  5  10  493    0.9310  0.0741  0.4032
  -3.314 -3.139  5  10  588    0.9306  0.0726  0.4288
  -3.139 -2.964  5  10  700    0.8691  0.1433  0.5000
  -2.964 -2.853  5  10  781    0.7235  0.1992  0.5000
  -2.853 -2.650  5  10  956    0.7260  0.1572  0.3986
  -2.650 -2.500  5  10 1108    0.8365  0.1011  0.1391
  -2.500 -2.322  5  10 1321    0.9173  0.0787  0.2643
  -2.322 -2.172  5  10 1529    0.9658  0.0272  0.1409
  -2.172 -1.930  5  10 1933    0.9806  0.0254  0.1142
  -1.930 -1.653  5  10 2511    0.9807  0.0248  0.0693
  -1.653 -1.479  5  10 2946    0.9802  0.0097  0.0382
  -1.479 -1.305  5  10 3435    0.9857  0.0099  0.0593
  -1.305 -1.044  5  10 4259    0.9964 -0.0195 -0.0021
  -1.044 -0.783  5  10 5141    1.0021 -0.0098 -0.0233
  -0.783 -0.522  5  10 5968    1.0087 -0.0038 -0.0374
  -0.522 -0.261  5  10 6574    1.0025  0.0027 -0.0039
  -0.261 -0.000  5  10 6800    0.9996  0.0071  0.0042
  +0.000 +0.261  5  10 6800    0.9996  0.0071  0.0042
  +0.261 +0.522  5  10 6574    1.0025  0.0027 -0.0039
  +0.522 +0.783  5  10 5968    1.0087 -0.0038 -0.0374
  +0.783 +1.044  5  10 5141    1.0021 -0.0098 -0.0233
  +1.044 +1.305  5  10 4259    0.9964 -0.0195 -0.0021
  +1.305 +1.479  5  10 3435    0.9857  0.0099  0.0593
  +1.479 +1.653  5  10 2946    0.9802  0.0097  0.0382
  +1.653 +1.930  5  10 2511    0.9807  0.0248  0.0693
  +1.930 +2.172  5  10 1933    0.9806  0.0254  0.1142
  +2.172 +2.322  5  10 1529    0.9658  0.0272  0.1409
  +2.322 +2.500  5  10 1321    0.9173  0.0787  0.2643
  +2.500 +2.650  5  10 1108    0.8365  0.1011  0.1391
  +2.650 +2.853  5  10  956    0.7260  0.1572  0.3986
  +2.853 +2.964  5  10  781    0.7235  0.1992  0.5000
  +2.964 +3.139  5  10  700    0.8691  0.1433  0.5000
  +3.139 +3.314  5  10  588    0.9306  0.0726  0.4288
  +3.314 +3.489  5  10  493    0.9310  0.0741  0.4032
  +3.489 +3.839  5  10  414    0.8872  0.0576  0.3239
  +3.839 +4.013  5  10  292    0.7943  0.1532  0.4399
  +4.013 +4.583  5  10  245    0.7430  0.2443  0.5000
  +4.583 +5.191  5  10  139    0.7333  0.1294  0.1678
