{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6536  0.4260  0.5000
  -4.583 -4.013  5  10  245    0.6825  0.3643  0.4378
  -4.013 -3.839  5  10  292    0.7220  0.2909  0.4161
  -3.839 -3.489  5  10  414    0.8099  0.1851  0.3506
  -3.489 -3.314  5  10  493    0.8846  0.0919  0.2237
  -3.314 -3.139  5  10  588    0.8618  0.1263  0.3058
  -3.139 -2.964  5  10  700    0.7961  0.1892  0.3156
  -2.964 -2.853  5  10  781    0.6730  0.2025  0.5000
  -2.853 -2.650  5  10  956    0.6791  0.1689  0.5000
  -2.650 -2.500  5  10 1108    0.8254  0.0559 -0.5000
  -2.500 -2.322  5  10 1321    0.9035  0.0259 -0.5000
  -2.322 -2.172  5  10 1529    0.9395 -0.0156 -0.5000
  -2.172 -1.930  5  10 1933    0.9587 -0.0070 -0.5000
  -1.930 -1.653  5  10 2511    0.9652 -0.0023 -0.3960
  -1.653 -1.479  5  10 2946    0.9604 -0.0064 -0.1481
  -1.479 -1.305  5  10 3435    0.9822  0.0143 -0.0026
  -1.305 -1.044  5  10 4259    0.9988 -0.0039  0.0220
  -1.044 -0.783  5  10 5141    1.0035 -0.0065  0.0051
  -0.783 -0.522  5  10 5968    1.0011 -0.0016 -0.0112
  -0.522 -0.261  5  10 6574    1.0001  0.0010 -0.0219
  -0.261 -0.000  5  10 6800    1.0017  0.0020 -0.0160
  +0.000 +0.261  5  10 6800    1.0017  0.0020 -0.0160
  +0.261 +0.522  5  10 6574    1.0001  0.0010 -0.0219
  +0.522 +0.783  5  10 5968    1.0011 -0.0016 -0.0112
  +0.783 +1.044  5  10 5141    1.0035 -0.0065  0.0051
  +1.044 +1.305  5  10 4259    0.9988 -0.0039  0.0220
  +1.305 +1.479  5  10 3435    0.9822  0.0143 -0.0026
  +1.479 +1.653  5  10 2946    0.9604 -0.0064 -0.1481
  +1.653 +1.930  5  10 2511    0.9652 -0.0023 -0.3960
  +1.930 +2.172  5  10 1933    0.9587 -0.0070 -0.5000
  +2.172 +2.322  5  10 1529    0.9395 -0.0156 -0.5000
  +2.322 +2.500  5  10 1321    0.9035  0.0259 -0.5000
  +2.500 +2.650  5  10 1108    0.8254  0.0559 -0.5000
  +2.650 +2.853  5  10  956    0.6791  0.1689  0.5000
  +2.853 +2.964  5  10  781    0.6730  0.2025  0.5000
  +2.964 +3.139  5  10  700    0.7961  0.1892  0.3156
  +3.139 +3.314  5  10  588    0.8618  0.1263  0.3058
  +3.314 +3.489  5  10  493    0.8846  0.0919  0.2237
  +3.489 +3.839  5  10  414    0.8099  0.1851  0.3506
  +3.839 +4.013  5  10  292    0.7220  0.2909  0.4161
  +4.013 +4.583  5  10  245    0.6825  0.3643  0.4378
  +4.583 +5.191  5  10  139    0.6536  0.4260  0.5000
