{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.7095  0.0837  0.1827
  -4.583 -4.013  5  10  245    0.7378  0.2528  0.5000
  -4.013 -3.839  5  10  292    0.8088  0.1460  0.3635
  -3.839 -3.489  5  10  414    0.8936  0.0449  0.2867
  -3.489 -3.314  5  10  493    0.9368  0.0704  0.3789
  -3.314 -3.139  5  10  588    0.9286  0.0772  0.4370
  -3.139 -2.964  5  10  700    0.8719  0.1419  0.5000
  -2.964 -2.853  5  10  781    0.7322  0.1988  0.5000
  -2.853 -2.650  5  10  956    0.7391  0.1418  0.2984
  -2.650 -2.500  5  10 1108    0.8384  0.0976  0.1211
  -2.500 -2.322  5  10 1321    0.9241  0.0697  0.2203
  -2.322 -2.172  5  10 1529    0.9659  0.0274  0.1356
  -2.172 -1.930  5  10 1933    0.9818  0.0244  0.1057
  -1.930 -1.653  5  10 2511    0.9826  0.0226  0.0582
  -1.653 -1.479  5  10 2946    0.9818  0.0078  0.0304
  -1.479 -1.305  5  10 3435    0.9849  0.0107  0.0597
  -1.305 -1.044  5  10 4259    0.9961 -0.0193 -0.0015
  -1.044 -0.783  5  10 5141    1.0027 -0.0105 -0.0265
  -0.783 -0.522  5  10 5968    1.0071 -0.0022 -0.0293
  -0.522 -0.261  5  10 6574    1.0026  0.0027 -0.0038
  -0.261 -0.000  5  10 6800    0.9997  0.0069  0.0027
  +0.000 +0.261  5  10 6800    0.9997  0.0069  0.0027
  +0.261 +0.522  5  10 6574    1.0026  0.0027 -0.0038
  +0.522 +0.783  5  10 5968    1.0071 -0.0022 -0.0293
  +0.783 +1.044  5  10 5141    1.0027 -0.0105 -0.0265
  +1.044 +1.305  5  10 4259    0.9961 -0.0193 -0.0015
  +1.305 +1.479  5  10 3435    0.9849  0.0107  0.0597
  +1.479 +1.653  5  10 2946    0.9818  0.0078  0.0304
  +1.653 +1.930  5  10 2511    0.9826  0.0226  0.0582
  +1.930 +2.172  5  10 1933    0.9818  0.0244  0.1057
  +2.172 +2.322  5  10 1529    0.9659  0.0274  0.1356
  +2.322 +2.500  5  10 1321    0.9241  0.0697  0.2203
  +2.500 +2.650  5  10 1108    0.8384  0.0976  0.1211
  +2.650 +2.853  5  10  956    0.7391  0.1418  0.2984
  +2.853 +2.964  5  10  781    0.7322  0.1988  0.5000
  +2.964 +3.139  5  10  700    0.8719  0.1419  0.5000
  +3.139 +3.314  5  10  588    0.9286  0.0772  0.4370
  +3.314 +3.489  5  10  493    0.9368  0.0704  0.3789
  +3.489 +3.839  5  10  414    0.8936  0.0449  0.2867
  +3.839 +4.013  5  10  292    0.8088  0.1460  0.3635
  +4.013 +4.583  5  10  245    0.7378  0.2528  0.5000
  +4.583 +5.191  5  10  139    0.7095  0.0837  0.1827
