{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6461  0.4288  0.5000
  -4.583 -4.013  5  10  245    0.6795  0.3537  0.4133
  -4.013 -3.839  5  10  292    0.7251  0.2964  0.3994
  -3.839 -3.489  5  10  414    0.8118  0.1844  0.3328
  -3.489 -3.314  5  10  493    0.8901  0.0847  0.1851
  -3.314 -3.139  5  10  588    0.8655  0.1208  0.2819
  -3.139 -2.964  5  10  700    0.8039  0.1835  0.2670
  -2.964 -2.853  5  10  781    0.6800  0.2111  0.5000
  -2.853 -2.650  5  10  956    0.6805  0.1689  0.5000
  -2.650 -2.500  5  10 1108    0.8230  0.0582 -0.5000
  -2.500 -2.322  5  10 1321    0.9013  0.0283 -0.5000
  -2.322 -2.172  5  10 1529    0.9265  0.0116 -0.5000
  -2.172 -1.930  5  10 1933    0.9578 -0.0073 -0.5000
  -1.930 -1.653  5  10 2511    0.9646 -0.0020 -0.4037
  -1.653 -1.479  5  10 2946    0.9591 -0.0053 -0.1483
  -1.479 -1.305  5  10 3435    0.9764  0.0201  0.0233
  -1.305 -1.044  5  10 4259    0.9997 -0.0047  0.0178
  -1.044 -0.783  5  10 5141    1.0038 -0.0069  0.0038
  -0.783 -0.522  5  10 5968    1.0023 -0.0026 -0.0161
  -0.522 -0.261  5  10 6574    1.0010  0.0002 -0.0258
  -0.261 -0.000  5  10 6800    1.0003  0.0033 -0.0102
  +0.000 +0.261  5  10 6800    1.0003  0.0033 -0.0102
  +0.261 +0.522  5  10 6574    1.0010  0.0002 -0.0258
  +0.522 +0.783  5  10 5968    1.0023 -0.0026 -0.0161
  +0.783 +1.044  5  10 5141    1.0038 -0.0069  0.0038
  +1.044 +1.305  5  10 4259    0.9997 -0.0047  0.0178
  +1.305 +1.479  5  10 3435    0.9764  0.0201  0.0233
  +1.479 +1.653  5  10 2946    0.9591 -0.0053 -0.1483
  +1.653 +1.930  5  10 2511    0.9646 -0.0020 -0.4037
  +1.930 +2.172  5  10 1933    0.9578 -0.0073 -0.5000
  +2.172 +2.322  5  10 1529    0.9265  0.0116 -0.5000
  +2.322 +2.500  5  10 1321    0.9013  0.0283 -0.5000
  +2.500 +2.650  5  10 1108    0.8230  0.0582 -0.5000
  +2.650 +2.853  5  10  956    0.6805  0.1689  0.5000
  +2.853 +2.964  5  10  781    0.6800  0.2111  0.5000
  +2.964 +3.139  5  10  700    0.8039  0.1835  0.2670
  +3.139 +3.314  5  10  588    0.8655  0.1208  0.2819
  +3.314 +3.489  5  10  493    0.8901  0.0847  0.1851
  +3.489 +3.839  5  10  414    0.8118  0.1844  0.3328
  +3.839 +4.013  5  10  292    0.7251  0.2964  0.3994
  +4.013 +4.583  5  10  245    0.6795  0.3537  0.4133
  +4.583 +5.191  5  10  139    0.6461  0.4288  0.5000
